Entry Number,Name,Year,Movie Rating,Directed by
1,Saltburn
2,Night Swim
3,Society of the Snow
4,Wonka
5,Rebel Moon: Part One - A Child of Fire
6,The Holdovers
7,Leave the World Behind
8,Poor Things
9,Aquaman and the Lost Kingdom
10,Anyone But You
11,The Iron Claw
12,Ferrari
13,The Boys in the Boat
14,Godzilla Minus One
15,Killers of the Flower Moon
16,Good Grief
17,Eileen
18,Dream Scenario
19,Maestro
20,The Hunger Games: The Ballad of Songbirds & Snakes
21,Migration
22,The Creator
23,Foe
24,The Color Purple
25,Oppenheimer
26,Anatomy of a Fall
27,Sound of Freedom
28,The Boy and the Heron
29,May December
30,Past Lives
